filename,permissions,activities,services
io.muetsch.anchrandroid_33.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET']","['io.muetsch.anchrandroid.MainActivity', 'io.flutter.plugins.urllauncher.WebViewActivity']",[]
me.johnmh.boogdroid_15.apk,['android.permission.INTERNET'],"['me.johnmh.boogdroid.ui.ActivityServer', 'me.johnmh.boogdroid.ui.ActivityServerManager', 'me.johnmh.boogdroid.ui.ActivityRegister']",[]
org.gnu.emacs_300050023.apk,"['android.permission.SEND_SMS', 'android.permission.WRITE_SMS', 'android.permission.RECORD_AUDIO', 'android.permission.READ_CONTACTS', 'android.permission.POST_NOTIFICATIONS', 'android.permission.READ_SMS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.REQUEST_DELETE_PACKAGES', 'android.permission.WRITE_CONTACTS', 'android.permission.NFC', 'android.permission.READ_PHONE_STATE', 'android.permission.SET_WALLPAPER', 'android.permission.RECEIVE_MMS', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.WRITE_CALENDAR', 'android.permission.WAKE_LOCK', 'android.permission.SYSTEM_ALERT_WINDOW', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET', 'android.permission.RECEIVE_SMS', 'android.permission.REQUEST_INSTALL_PACKAGES', 'android.permission.MANAGE_EXTERNAL_STORAGE', 'android.permission.READ_CALENDAR', 'android.permission.TRANSMIT_IR', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['org.gnu.emacs.EmacsActivity', 'org.gnu.emacs.EmacsOpenActivity', 'org.gnu.emacs.EmacsMultitaskActivity', 'org.gnu.emacs..EmacsPreferencesActivity', 'org.gnu.emacs..EmacsLauncherPreferencesActivity']",['org.gnu.emacs.EmacsService']
com.sweak.qralarm_22.apk,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.USE_FULL_SCREEN_INTENT', 'android.permission.VIBRATE', 'android.permission.USE_EXACT_ALARM', 'com.sweak.qralarm.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.CAMERA', 'android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS', 'android.permission.SCHEDULE_EXACT_ALARM', 'android.permission.POST_NOTIFICATIONS', 'android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK', 'android.permission.FOREGROUND_SERVICE']",['com.sweak.qralarm.MainActivity'],['com.sweak.qralarm.alarm.QRAlarmService']
com.blacksquircle.ui_10022.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.MANAGE_EXTERNAL_STORAGE', 'com.blacksquircle.ui.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.POST_NOTIFICATIONS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']",['com.blacksquircle.ui.application.activity.MainActivity'],"['androidx.work.impl.foreground.SystemForegroundService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.room.MultiInstanceInvalidationService']"
nodom.darkfm.inventoryguimobile_2.apk,['android.permission.WRITE_EXTERNAL_STORAGE'],['nodom.darkfm.inventoryguimobile.MainScreen'],[]
com.fastaccess.github.libre_467.apk,"['android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE']","['com.fastaccess.ui.modules.main.MainActivity', 'com.fastaccess.ui.modules.login.LoginActivity', 'com.fastaccess.ui.modules.login.chooser.LoginChooserActivity', 'com.fastaccess.ui.modules.user.UserPagerActivity', 'com.fastaccess.ui.modules.repos.RepoPagerActivity', 'com.fastaccess.ui.modules.repos.issues.issue.details.IssuePagerActivity', 'com.fastaccess.ui.modules.repos.issues.create.CreateIssueActivity', 'com.fastaccess.ui.modules.repos.pull_requests.pull_request.details.PullRequestPagerActivity', 'com.fastaccess.ui.modules.repos.code.commit.details.CommitPagerActivity', 'com.fastaccess.ui.modules.code.CodeViewerActivity', 'com.fastaccess.ui.modules.editor.EditorActivity', 'com.fastaccess.ui.modules.gists.create.CreateGistActivity', 'com.fastaccess.ui.modules.gists.gist.GistActivity', 'com.fastaccess.ui.modules.search.SearchActivity', 'com.fastaccess.ui.modules.notification.NotificationActivity', 'com.fastaccess.ui.modules.about.FastHubAboutActivity', 'com.fastaccess.ui.modules.pinned.PinnedReposActivity', 'com.fastaccess.ui.modules.gists.GistsListActivity', 'com.fastaccess.ui.modules.profile.org.teams.details.TeamPagerActivity', 'com.fastaccess.ui.modules.repos.code.files.activity.RepoFilesActivity', 'com.fastaccess.ui.modules.filter.issues.FilterIssuesActivity', 'com.fastaccess.ui.modules.main.donation.DonationActivity', 'com.fastaccess.ui.modules.repos.code.commit.viewer.FullCommitFileActivity', 'com.fastaccess.ui.modules.search.repos.files.SearchFileActivity', 'com.fastaccess.ui.modules.settings.SettingsActivity', 'com.fastaccess.ui.modules.settings.category.SettingsCategoryActivity', 'com.fastaccess.ui.modules.repos.code.releases.ReleasesListActivity', 'com.fastaccess.ui.modules.trending.TrendingActivity', 'com.fastaccess.ui.modules.theme.ThemeActivity', 'com.fastaccess.ui.modules.theme.code.ThemeCodeActivity', 'com.fastaccess.ui.modules.repos.wiki.WikiActivity', 'com.fastaccess.ui.modules.main.premium.PremiumActivity', 'com.fastaccess.ui.modules.repos.git.EditRepoFileActivity', 'com.fastaccess.ui.modules.repos.code.commit.history.FileCommitHistoryActivity', 'com.fastaccess.ui.modules.repos.projects.details.ProjectPagerActivity', 'com.fastaccess.ui.modules.profile.org.project.OrgProjectActivity', 'com.fastaccess.ui.modules.main.playstore.PlayStoreWarningActivity', 'com.fastaccess.ui.modules.repos.pull_requests.pull_request.details.files.fullscreen.FullScreenFileChangeActivity', 'com.fastaccess.ui.modules.search.SearchUserActivity', 'com.fastaccess.ui.modules.parser.LinksParserActivity', 'com.mikepenz.aboutlibraries.ui.LibsActivity']","['com.fastaccess.provider.tasks.notification.NotificationSchedulerJobTask', 'com.fastaccess.provider.tasks.notification.ReadNotificationService', 'com.fastaccess.provider.tasks.git.GithubActionService', 'com.fastaccess.provider.tasks.git.ReactionService', 'com.fastaccess.provider.tasks.version.CheckVersionService']"
com.rascarlo.arch.packages_5.apk,['android.permission.INTERNET'],['com.rascarlo.arch.packages.MainActivity'],['androidx.room.MultiInstanceInvalidationService']
io.github.randomfilemaker_10.apk,[],"['io.github.randomfilemaker.LicenseActivity', 'io.github.randomfilemaker.MainActivity', 'com.jaredrummler.cyanea.prefs.CyaneaThemePickerActivity', 'com.jaredrummler.cyanea.prefs.CyaneaSettingsActivity']",[]
com.github.sryze.wirebug_10100.apk,"['android.permission.WAKE_LOCK', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.ACCESS_NETWORK_STATE']","['com.github.sryze.wirebug.MainActivity', 'com.github.sryze.wirebug.SettingsActivity']",['com.github.sryze.wirebug.DebugStatusService']
